Name,Address
12TH AVE S VIEWPOINT,2821 12TH AVE S
12TH AVE SQUARE PARK,564 12TH AVE
14TH AVE NW BOAT RAMP,4400 14TH AVE NW
3001 E MADISON,3001 E MADISON ST
32ND AVE W BOAT LAUNCH,32ND AVE W
6TH AVE NW POCKET PARK,606  NW 76TH ST
A. B. ERNST PARK,723 N 35TH ST
ADAMS STREET BOAT RAMP,LAKE WASHINGTON BLVD S & S ADAMS ST
ALBERT DAVIS PARK,12526 27TH AVE NE
ALKI BEACH PARK,1702 ALKI AVE SW
ALKI PLAYGROUND,5817 SW LANDER ST
ALVIN LARKINS PARK,1504 34TH AVE
AMY YEE TENNIS CENTER,2000 MARTIN LUTHER KING JR WAY S
ANDOVER PLACE,4000 BEACH DR SW
ARAPAHOE TRIANGLE,3431 ARAPAHOE PL W
ARROYOS NATURAL AREA,4120 ARROYO DR SW
ATLANTIC CITY BOAT RAMP,8702 SEWARD PARK AVE S
ATLANTIC STREET PARK,1501 21ST AVE S
B.F. DAY PLAYGROUND,4020 FREMONT AVE N
BAGLEY VIEWPOINT,2548 DELMAR DR E
BAKER PARK ON CROWN HILL,8347 14TH AVE NW
BALLARD COMMONS PARK,5701 22ND AVE NW
BALLARD CORNERS PARK,1702 NW 62ND ST
BALLARD PLAYGROUND,2644 NW 60TH ST
BANNER WAY TRIANGLE,7802 BANNER WAY NE
BAR-S PLAYGROUND,6425 SW ADMIRAL WAY
BAYVIEW PLAYGROUND,2614 24TH AVE W
BAYVIEW-KINNEAR (LOWER KERRY PARK),3RD AVE W & W PROSPECT ST
BEACON HILL PLAYGROUND,1902 13TH AVE S
BEACON PLACE,1110 S DEARBORN ST
BEAVER POND NATURAL AREA ON THORNTON CREEK,5TH AVE NE & NE 103RD ST
BECK PLACE,5809 15TH AVE NE
BEER SHEVA PARK,8650 55TH AVE S
BELL STREET PARK,1ST TO 5TH AVE ON BELL ST
BELLEVUE PLACE,BELLEVUE AVE E & BELLEVUE PL E
BELLTOWN COTTAGE PARK,2512 ELLIOTT AVE
BELMONT PLACE,703 BELMONT PL E
BELVOIR PLACE,3659 42ND AVE NE
BENEFIT PLAYGROUND,9320 38TH AVE S
BENVENUTO VIEWPOINT,1401 23RD AVE S
BERGEN PLACE,5420 22ND AVE NW
BHY KRACKE PARK,1215 5TH AVE N
BITTER LAKE PLAYFIELD,13035 LINDEN AVE N
BITTER LAKE RESERVOIR OPEN SPACE,14201 LINDEN AVE N
BLAINE PLACE,513 W OLYMPIC PL
BLUE DOG POND,1520 26TH AVE S
BLUE RIDGE CIRCLE,1851 NW BLUE RIDGE DR
BLUE RIDGE PLACE,RADFORD AVE NW & NW MILFORD WAY
BOREN PLACE,321 BROADWAY
BOYLSTON PLACE,815 BROADWAY
BRADNER GARDENS PARK,1730 BRADNER PL S
BRIGHTON PLAYFIELD,6000 39TH AVE S
BROADVIEW PARK,GREENWOOD AVE N & N 122ND ST
BRYANT NEIGHBORHOOD PLAYGROUND,4103 NE 65TH ST
BURKE-GILMAN PLAYGROUND PARK,5201 SAND POINT WAY NE
CAL ANDERSON PARK AND BOBBY MORRIS PLAYFIELD,1635 11TH AVE
CALIFORNIA PLACE,2099 CALIFORNIA AVE SW
