Name,Address
ZYLBERSCHTEIN'S DELICATESSEN & BAKERY,11752 15TH AVE NE
"ZUBA, LLC",400 PINE ST STE 3050
ZOUAVE RESTAURANT,2615 NE 65TH ST
ZOKA COFFEE ROASTER & TEA CO,2200 N 56TH ST
ZOBEL ETHIOPIAN RESTAURANT,1219 E JEFFERSON ST
ZIPPY'S GIANT BURGERS,9614 14TH AVE SW
ZIP MARKET,10645 16TH AVE SW
ZIG ZAG CAFE,1501 WESTERN AVE
ZETA PSI FRATERNITY,4703 21ST AVE NE
ZEST FAST FOOD,7111 RAINIER AVE S
ZEITGEIST ART & COFFEE,171 S JACKSON ST
ZEERINE SUBWAY #20520,820 STEWART ST STE B
ZEEKS PIZZA WHITE CENTER,9809 16TH AVE SW
ZEEKS PIZZA INC,6459 CALIFORNIA AVE SW
ZEEKS PIZZA,1915 QUEEN ANNE AVE N
ZEEK'S PIZZA,1830 E MERCER ST STE A
ZAYTOONA (KC526),301 2ND AVE EXIT S
ZAP VERR THAI RESTAURANT & LOUNGE,3410 FREMONT AVE N
ZAINA FOOD,8000 LAKE CITY WAY NE
ZAIKA RESTAURANT & LOUNGE,1100 PIKE ST
ZAGOL ETHIOPIAN RESTAURANT,2722 E CHERRY ST
YUSRA AND SABAH RESTAURANT,7729 RAINIER AVE S #A
YUMMY TERYAKI,622 1ST AVE N
YUMMY SUSHI  @  (QFC #866),11100 ROOSEVELT WAY NE
YUMMY HOUSE BAKERY,522 6TH AVE S
YUMMY DUCK,13200 AURORA AVE N #A
YUMMY CATCH - KC857,1319 N 49TH ST
"YUMMY CAFE, LLC",4008 NE 55TH ST
YUMMI SUSHI@QFC #891,5700 24TH AVE NW
YUMMI SUSHI @ QFC #887,417 BROADWAY AVE E
YUMMI SUSHI @ QFC #883,4550 42ND AVE SW
YUMMI SUSHI @ QFC #881,500 MERCER ST
YUMMI SUSHI @ QFC #872,9999 HOLMAN RD NW
YUMMI SUSHI @ QFC #869,4500 WALLINGFORD AVE N
YUMMI SUSHI @ QFC #858,1531 NE 145TH ST
YUMMI SUSHI @ QFC #849,2707 RAINIER AVE S
YUMMI SUSHI @ QFC #847,1401 BROADWAY
YUMMI SUSHI @ QFC #811,1600 W DRAVUS ST
YUMMI SUSHI @  (QFC #807),2746 NE 45TH ST
YUME SUSHI AND BAR,3217 W MCGRAW ST
YUMBIT 2.0  (KC783),720 SENECA ST
YUMBIT 2 (KC934),720 SENECA ST
YUMBIT (KC298),720 SENECA ST
YUM YUM TERIYAKI,10641 16TH AVE SW
YOUNG'S RESTAURANT,9413 16TH AVE SW
YOSHINO TERIYAKI,1010 MADISON ST
YOMIES YOGURT,518 S KING ST
YIFANG TAIWAN FRUIT TEA,619 S KING ST
YI FANG TAIWAN FRUIT TEA,5000 UNIVERSITY WAY NE
YES SIAM THAI CAFE & BAR,8014 15TH AVE NE
YEN WOR,2300 CALIFORNIA AVE SW
YELLOW BUTTERFLY COFFEE,501 3RD AVE
YE OLDE CURIOSITY SHOP,1001 ALASKAN WAY
YASUKO'S TERIYAKI,3200 15TH AVE W
YARD HOUSE RESTAURANT #8343,1501 4TH AVE #118
"YARD CAFE, THE",8313 GREENWOOD AVE N
YANNIS GREEK RESTAURANT,7419 GREENWOOD AVE N
YANGGUOFU YGF MALATANG,4730 UNIVERSITY WAY NE #103
YALLA,1510 E OLIVE WAY
YAK'S TERIYAKI,3401 4TH AVE S
XTADIUM LOUNGE,315 2ND AVE S STE 100
XIAOFANG KITCHEN LLC,3427 RAINIER AVE S
XIAN NOODLES @ WESTLAKE MALL,400 PINE ST
XI'AN NOODLES,5259 UNIVERSITY WAY NE
WUNDERKIND,3318 NE 55TH ST
WUNDERGROUND RETAIL CAP HILL LLC,1111 E PIKE ST STE 11
"WPA, LLC - ANDALUCA",405 OLIVE WAY
WOW MARKET,1312 MINOR AVE
WORTH MCCLURE MIDDLE SCHOOL,1915 1ST AVE W
WORLD TRADE CENTER SEATTLE,2200 ALASKA WAY
WORLD PIZZA LLC,672 S KING ST
WOODLAND PARK ZOO,5500 PHINNEY AVE N
WOODLAND COFFEE,1417 NW 54TH ST
WOOD'S,1512 11TH AVE
WOOD SHOP BBQ,2513 S JACKSON ST
WONG TUNG SEAFOOD,210 12TH AVE S
WONDERLAND CAFE LLC,2231 QUEEN ANNE AVE N
WONDER COFFEE AND SPORTS BAR,1800 S JACKSON ST E
WOMEN'S UNIVERSITY CLUB,1105 6TH AVE
WOLF & SPICE LLC,6500 52ND AVE S
WOK'S TERIYAKI,6316 6TH AVE S
"WITNESS BAR, LLC",410 BROADWAY E
WITHSTYLE CATERING,7114 E MARGINAL WAY S
WISE FOOL SPIRITS,826-B NW 49TH ST
WINGDOME WATERFRONT,1201 ALASKAN WAY
WING LUKE ELEMENTARY SCHOOL,3701 S KENYON ST
WING DOME ICE CREAM CART,1201 ALASKAN WAY STE 101
WING DOME ARMORY,305 HARRISON ST
WING DOME,7818 GREENWOOD AVE N
WINES OF WASHINGTON TASTING RO,1934 POST ALY
