NeighborhoodId,NeighborhoodName,ZipCodeID
0,Madrona,0
1,Wallingford,1
2,Georgetown,2
3,Fairmount Park,3
4,Whittier Heights,4
5,Loyal Heights,4
6,Eastlake,5
7,Fremont,1
8,Green Lake,6
9,Portage Bay,5
10,Lower Queen Anne,7
11,Phinney Ridge,1
12,Crown Hill,4
13,Lawton Park,8
14,Mid-Beacon Hill,2
15,North Queen Anne,9
16,West Queen Anne,9
17,First Hill,0
18,North Admiral,10
19,International District,11
20,Broadway,5
21,North Beacon Hill,2
22,Greenwood,1
23,Cedar Park,12
24,Columbia City,13
25,Mann,14
26,Genesee,2
27,Central Business District,15
28,Ravenna,6
29,Belltown,16
30,University District,17
31,Harrison/Denny-Blaine,14
32,South Delridge,18
33,Atlantic,19
34,Broadview,20
35,Maple Leaf,6
36,East Queen Anne,7
37,Pioneer Square,11
38,Mount Baker,19
39,Highland Park,18
40,West Woodland,21
41,Haller Lake,12
42,Madison Park,14
43,Fauntleroy,3
44,Matthews Beach,6
45,Minor,0
46,Leschi,19
47,Sunset Hill,4
48,Adams,21
49,North Beach/Blue Ridge,4
50,Briarcliff,8
51,North Delridge,18
52,Bryant,6
53,Seward Park,13
54,Bitter Lake,22
55,Riverview,18
56,Brighton,13
57,Interbay,8
58,View Ridge,6
59,Stevens,14
60,Pike-Market,15
61,High Point,18
62,Yesler Terrace,11
63,Alki,10
64,Harbor Island,23
65,Windermere,17
66,Rainier Beach,13
67,Seaview,24
68,Victory Heights,12
69,Roosevelt,6
70,Gatewood,3
71,Dunlap,13
72,Southeast Magnolia,8
73,Olympic Hills,12
74,Wedgwood,6
75,Laurelhurst,17
76,North College Park,1
77,Pinehurst,12
78,Montlake,14
79,Meadowbrook,12
80,Rainier View,25
81,Westlake,7
82,South Beacon Hill,2
83,Industrial District,23
84,Arbor Heights,26
85,South Park,2
86,South Lake Union,7
87,Roxhill,18
88,Holly Park,13
