Name,Address,Longitude,Latitude,ZipCodeId
ZYLBERSCHTEIN'S DELICATESSEN & BAKERY,11752 15TH AVE NE,-122.31205608,47.7153595,12
"ZUBA, LLC",400 PINE ST STE 3050,-122.3372123,47.61169518,15
ZOUAVE RESTAURANT,2615 NE 65TH ST,-122.2987529968,47.675625333,6
ZOKA COFFEE ROASTER & TEA CO,2200 N 56TH ST,-122.3328714719,47.6688283333,1
ZOBEL ETHIOPIAN RESTAURANT,1219 E JEFFERSON ST,-122.3159379167,47.606021157,0
ZIPPY'S GIANT BURGERS,9614 14TH AVE SW,-122.3524406533,47.5168589765,18
ZIP MARKET,10645 16TH AVE SW,-122.355639159,47.507442893,26
ZIG ZAG CAFE,1501 WESTERN AVE,-122.3415223177,47.6083189447,15
ZETA PSI FRATERNITY,4703 21ST AVE NE,-122.3058724507,47.6632889946,17
ZEST FAST FOOD,7111 RAINIER AVE S,-122.270995674,47.5387658291,13
ZEITGEIST ART & COFFEE,171 S JACKSON ST,-122.332332831,47.5990375155,11
ZEERINE SUBWAY #20520,820 STEWART ST STE B,-122.33476025,47.61558976,15
ZEEKS PIZZA WHITE CENTER,9809 16TH AVE SW,-122.35533715,47.5152174,18
ZEEKS PIZZA INC,6459 CALIFORNIA AVE SW,-122.3874262783,47.5450415156,3
ZEEKS PIZZA,1915 QUEEN ANNE AVE N,-122.35726757,47.63651391,7
ZEEK'S PIZZA,1830 E MERCER ST STE A,-122.3075,47.62455,14
ZAYTOONA (KC526),301 2ND AVE EXIT S,-122.36272184,47.55167133,11
ZAP VERR THAI RESTAURANT & LOUNGE,3410 FREMONT AVE N,-122.3493827185,47.6497912711,1
ZAINA FOOD,8000 LAKE CITY WAY NE,-122.31284717,47.68683999,6
ZAIKA RESTAURANT & LOUNGE,1100 PIKE ST,-122.3288936313,47.6137191081,15
ZAGOL ETHIOPIAN RESTAURANT,2722 E CHERRY ST,-122.2966548303,47.6081117167,0
YUSRA AND SABAH RESTAURANT,7729 RAINIER AVE S #A,-122.27032396,47.53277525,13
YUMMY TERYAKI,622 1ST AVE N,-122.355176892,47.6253052557,7
